时间, 账本, 类型, 一级分类, 二级分类, 金额, 账户, 报销, 备注
2025/08/31 20:24:30,日常账本,支出,饮品,,-10.0,微信钱包,,大片果粒橙
2025/08/31 20:22:55,日常账本,支出,餐饮,,-89.0,微信钱包,,学校吃饭 三个人
2025/08/31 15:18:56,日常账本,支出,饮品,,-5.0,微信钱包,,冰茶
2025/08/31 15:13:03,日常账本,收入,其他,好评返现,1.0,微信钱包,,打开拼多多，领更多现金红包
2025/08/31 14:03:01,日常账本,支出,娱乐,网吧,-35.0,微信钱包,,电竞酒店a钱
2025/08/31 13:25:19,日常账本,支出,餐饮,,-107.0,微信钱包,,【POS】_西安凤八博乐里汉堡_286696_无_无_无
2025/08/31 13:24:54,日常账本,收入,A钱,,12.5,微信钱包,,微信转账
2025/08/31 13:24:48,日常账本,收入,A钱,,12.5,微信钱包,,微信转账
2025/08/31 13:24:05,日常账本,支出,住房,电费,-50.0,微信钱包,,空调电费
2025/08/31 12:53:21,日常账本,支出,交通,,-50.0,微信钱包,,长安通互联互通充值
2025/08/30 21:23:19,日常账本,支出,餐饮,,-16.5,微信钱包,,塔斯汀
2025/08/30 16:57:25,日常账本,支出,餐饮,,-18.5,支付宝,,塔斯汀·中国汉堡(凤城一路店)外卖订单
2025/08/30 14:06:35,日常账本,支出,饮品,,-14.0,微信钱包,,东方树叶和怡宝
2025/08/30 12:13:45,日常账本,支出,饮品,,-2.0,微信钱包,,农夫山泉
2025/08/30 12:11:00,日常账本,支出,餐饮,,-17.0,微信钱包,,炒菜 孜然牛肉
2025/08/29 21:06:43,日常账本,收入,其他,好评返现,1.0,微信钱包,,打开拼多多，领更多现金红包
2025/08/29 21:04:59,日常账本,收入,其他,好评返现,1.5,微信钱包,,拼多多
2025/08/29 19:41:25,日常账本,收入,生活费,,1800.0,微信钱包,,
2025/08/29 18:56:50,日常账本,支出,日用,卫生纸,-34.5,支付宝,,抽纸，卷纸，小包纸
2025/08/29 16:47:28,日常账本,支出,餐饮,,-36.0,微信钱包,,魏斯理汉堡
2025/08/29 11:42:54,日常账本,收入,红包,,0.08,微信钱包,,嘟嘟嘟JIMILIMITADA的红包
2025/08/28 20:23:55,日常账本,支出,饮品,,-2.9,微信钱包,,瑞幸冰茶
2025/08/28 20:13:57,日常账本,支出,饮品,,-3.9,微信钱包,,瑞幸奶茶
2025/08/28 18:38:07,日常账本,支出,日用,,-16.0,微信钱包,,牙膏
2025/08/28 12:45:16,日常账本,收入,其他,扫码领,1.0,微信钱包,,可乐扫码领
2025/08/27 19:43:05,日常账本,支出,饮品,,-2.9,微信钱包,,瑞幸冰茶
2025/08/27 19:17:08,日常账本,支出,餐饮,,-20.0,微信钱包,,魏家凉皮
2025/08/27 12:06:44,日常账本,支出,日用,,-38.4,微信钱包,,雨伞
2025/08/27 12:04:14,日常账本,支出,服饰,袜子,-29.9,微信钱包,,有棵树袜子5双
