时间, 账本, 类型, 一级分类, 二级分类, 金额, 账户, 报销, 备注
2024/12/02 15:25:36,日常账本,收入,其他,,99.0,支付宝,,流量卡
2024/12/02 12:54:25,日常账本,支出,饮品,,-3.0,微信钱包,,学子超市
2024/12/02 12:31:55,日常账本,支出,餐饮,,-13.0,微信钱包,,麻辣拌
2024/12/02 10:16:13,日常账本,支出,饮品,,-2.34,支付宝,,2000330803720892
2024/12/02 10:03:38,日常账本,支出,餐饮,,-5.0,微信钱包,,麦香馅饼
2024/12/01 18:55:57,日常账本,支出,水果捞,,-13.0,微信钱包,,商户_张春燕
2024/12/01 18:39:27,日常账本,支出,餐饮,,-15.0,微信钱包,,叉烧饭
2024/12/01 17:35:45,日常账本,支出,购物,,-27.38,中信银行,,电动指甲刀
2024/12/01 11:27:49,日常账本,收入,其他,,2.1,中信银行,,抖音刷视频自动提现
2024/12/01 11:26:06,日常账本,收入,余额宝,,0.22,支付宝,,
2024/12/01 11:25:31,日常账本,收入,零钱通,,1.21,微信钱包,,
2024/12/01 10:09:04,日常账本,支出,游戏,,-6.0,微信钱包,,深圳市腾讯天游科技有限公司
2024/12/01 08:43:44,日常账本,支出,餐饮,,-5.0,微信钱包,,宫廷香酥牛肉饼
2024/11/30 19:26:57,日常账本,支出,餐饮,,-15.8,支付宝,,猪脚饭
2024/11/29 19:50:06,日常账本,收入,红包,,0.67,微信钱包,,金铲铲著名军师的红包
2024/11/29 19:48:12,日常账本,支出,餐饮,,-25.6,支付宝,,塔斯汀中国汉堡(咸宁东路店)
2024/11/29 13:44:52,日常账本,支出,其它,,-0.6,微信钱包,,留白打印
2024/11/29 12:24:57,日常账本,支出,餐饮,,-2.0,微信钱包,,玉米肠
2024/11/29 12:24:30,日常账本,支出,餐饮,,-11.3,微信钱包,,快餐
2024/11/29 12:05:36,日常账本,支出,其它,,-4.0,微信钱包,,云裳物联
2024/11/29 11:14:58,日常账本,支出,其它,,-4.0,微信钱包,,云裳物联
2024/11/29 10:22:53,日常账本,支出,其它,,-5.0,微信钱包,,云裳物联
2024/11/29 10:04:09,日常账本,支出,其它,,-20.0,微信钱包,,水卡
2024/11/29 09:04:11,日常账本,支出,餐饮,,-4.0,微信钱包,,早餐
2024/11/28 18:54:32,日常账本,支出,餐饮,,-14.0,微信钱包,,炒菜
2024/11/28 12:42:31,日常账本,支出,日用,,-1.5,微信钱包,,卫生纸
2024/11/28 12:39:06,日常账本,支出,饮品,,-5.0,微信钱包,,学子超市
2024/11/28 12:16:25,日常账本,支出,餐饮,,-2.0,微信钱包,,玉米肠
2024/11/28 12:14:59,日常账本,支出,餐饮,,-13.0,微信钱包,,麻辣拌
2024/11/27 20:48:03,日常账本,收入,火影租号,,16.64,微信钱包,,
2024/11/27 20:35:52,日常账本,支出,饮品,,-17.0,微信钱包,,茶话弄（韦曲老街店）
2024/11/27 20:22:37,日常账本,支出,餐饮,,-5.0,微信钱包,,酱饼
2024/11/27 20:21:12,日常账本,支出,餐饮,,-5.0,微信钱包,,牛肉饼
2024/11/27 20:14:45,日常账本,支出,其它,,-20.0,微信钱包,,刮刮乐
2024/11/27 13:01:03,日常账本,支出,餐饮,,-15.0,微信钱包,,叉烧饭
2024/11/27 11:16:39,日常账本,支出,其它,,-25.0,微信钱包,,电费
2024/11/27 10:03:44,日常账本,支出,饮品,,-6.5,支付宝,,2000329863481844
2024/11/27 10:02:37,日常账本,支出,餐饮,,-14.0,微信钱包,,早餐
2024/11/26 22:38:23,日常账本,支出,游戏,,-50.0,微信钱包,,深圳市腾讯天游科技有限公司
2024/11/26 19:20:51,日常账本,支出,零食,,-5.1,微信钱包,,泡芙
2024/11/26 19:05:27,日常账本,支出,餐饮,,-14.0,微信钱包,,炸鸡双拼
2024/11/26 11:12:46,日常账本,支出,饮品,,-4.5,支付宝,,2000329699863660
2024/11/26 10:10:26,日常账本,支出,餐饮,,-3.0,微信钱包,,肉肠
2024/11/26 10:10:00,日常账本,支出,餐饮,,-13.3,微信钱包,,快餐
2024/11/25 19:04:01,日常账本,支出,水果捞,,-13.6,微信钱包,,商户_张春燕
2024/11/25 18:39:34,日常账本,支出,餐饮,,-14.0,微信钱包,,肥肠面
2024/11/25 15:58:49,日常账本,支出,饮品,,-4.0,支付宝,,雪碧
2024/11/25 12:25:33,日常账本,支出,餐饮,,-15.0,微信钱包,,木桶饭
2024/11/24 18:51:41,日常账本,支出,饮品,,-7.0,微信钱包,,西安培华学院
2024/11/24 18:50:45,日常账本,支出,餐饮,,-13.0,微信钱包,,黄焖鸡
2024/11/23 12:59:22,日常账本,支出,其它,,-0.5,支付宝,,广东肠粉
